Timestamp,Aggregate Facet,App ID,App Name,Application Ids,Count,Entity GUID,Error.Class,Error.Expected,Error.Message,Exception Class,Fingerprint,GUID,Http.Status Code,Http Response Code,ID,Jvm.Thread Name,Message,Parent.Account,Parent.App,Parent.Transport Duration,Parent.Transport Type,Parent.Type,Path,Priority,Real Agent ID,Request.Headers.Accept,Request.Headers.Content Length,Request.Headers.Host,Request.Headers.User Agent,Request.Method,Request.URI,Response.Headers.Content Type,Sampled,Sql,Storage ID,Trace ID,Transaction Name,Transaction Ui Name
2022-07-23 14:04:08,WebTransaction/SpringController/employees (POST)::org.springframework.web.util.NestedServletException,544156790,employee-dashboard,:544156790:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU2Nzkw,org.springframework.web.util.NestedServletException,false,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T14:03:13.735+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees""}""",org.springframework.web.util.NestedServletException,c7ade72fce0cb5802f3f05c0d6042a95-3406885-1,4e73d8153f6d7fb4,500,500,51b76849-0a90-11ed-8c20-0242ac110009_0_11279,http-nio-8000-exec-9,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T14:03:13.735+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees""}""",,,,HTTP,,WebTransaction/SpringController/employees (POST),1.720995,544156241,*/*,151,localhost:8000,PostmanRuntime/7.28.4,POST,/employees/,application/json,true,,51b76849-0a90-11ed-8c20-0242ac110009_0_11279,afa979189d2ebd44c46851e7b9ddd17a,WebTransaction/SpringController/employees (POST),/employees (POST)
2022-07-23 14:03:37,WebTransaction/SpringController/employees (POST)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.RuntimeException,org.springframework.web.util.NestedServletException,b2934aae1de828e0a65f917739efb459-3406885-1,cc95893a08a8fd49,500,500,51b76849-0a90-11ed-8c20-0242ac110009_11280_20856,http-nio-9000-exec-2,Request processing failed; nested exception is java.lang.RuntimeException,3406885,544156790,0.047,HTTP,App,WebTransaction/SpringController/employees (POST),1.72995,544159049,"application/json, application/*+json",122,localhost:9000,Java/11.0.3,POST,/employees,application/json,true,"insert into employee_details (emp_designation, emp_id, emp_joining_date, emp_name, emp_organisation) values (?, ?, ?, ?, ?)",51b76849-0a90-11ed-8c20-0242ac110009_11280_20856,afa979189d2ebd44c46851e7b9ddd17a,WebTransaction/SpringController/employees (POST),/employees (POST)
2022-07-23 13:41:37,WebTransaction/SpringController/employees/{id} (GET)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,4,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.RuntimeException: No employee found for id 154,org.springframework.web.util.NestedServletException,e4b6d869db24fdbc302df47e300df330-3406885-1,623f607388e0d212,500,500,2cc9c7a4-0a8d-11ed-8c20-0242ac110009_0_9570,http-nio-9000-exec-8,Request processing failed; nested exception is java.lang.RuntimeException: No employee found for id 154,3406885,544156790,0.003,HTTP,App,WebTransaction/SpringController/employees/{id} (GET),1.72575,544159049,"application/json, application/*+json",,localhost:9000,Java/11.0.3,GET,/employees/154,application/json,true,,2cc9c7a4-0a8d-11ed-8c20-0242ac110009_0_9570,68dc46361165e218c85225e47f4749d3,WebTransaction/SpringController/employees/{id} (GET),/employees/{id} (GET)
2022-07-23 13:08:37,WebTransaction/SpringController/employees/{id} (DELETE)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.IllegalArgumentException: No employee is found with id 2,org.springframework.web.util.NestedServletException,929936345e5c0d9eb5f625e77086c6ca-3406885-1,7bab78cf43b7adc8,500,500,9064a7b9-0a88-11ed-8c20-0242ac110009_0_9571,http-nio-9000-exec-1,Request processing failed; nested exception is java.lang.IllegalArgumentException: No employee is found with id 2,3406885,544156790,0.032,HTTP,App,WebTransaction/SpringController/employees/{id} (DELETE),1.488666,544159049,*/*,,localhost:9000,Java/11.0.3,DELETE,/employees/2,application/json,true,,9064a7b9-0a88-11ed-8c20-0242ac110009_0_9571,12e348faedd522ca479ce9cd3f82ef75,WebTransaction/SpringController/employees/{id} (DELETE),/employees/{id} (DELETE)
2022-07-23 13:08:10,WebTransaction/SpringController/employees/{id} (DELETE)::org.springframework.web.util.NestedServletException,544156790,employee-dashboard,:544156790:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU2Nzkw,org.springframework.web.util.NestedServletException,false,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T13:07:37.056+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees/2""}""",org.springframework.web.util.NestedServletException,07a41672cd2962cc63c126091102b52a-3406885-1,2155514a5e434186,500,500,8066b2cb-0a88-11ed-8c20-0242ac110009_0_11405,http-nio-8000-exec-7,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T13:07:37.056+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees/2""}""",,,,HTTP,,WebTransaction/SpringController/employees/{id} (DELETE),1.488666,544156241,*/*,151,localhost:8000,PostmanRuntime/7.28.4,DELETE,/employees/2,application/json,true,,8066b2cb-0a88-11ed-8c20-0242ac110009_0_11405,12e348faedd522ca479ce9cd3f82ef75,WebTransaction/SpringController/employees/{id} (DELETE),/employees/{id} (DELETE)
2022-07-23 10:39:38,WebTransaction/SpringController/employees/{id} (GET)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,3,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.RuntimeException: No employee found for id 154,org.springframework.web.util.NestedServletException,e4b6d869db24fdbc302df47e300df330-3406885-1,d0c57689bcbedcce,500,500,c07da507-0a73-11ed-8c20-0242ac110009_0_9571,http-nio-9000-exec-2,Request processing failed; nested exception is java.lang.RuntimeException: No employee found for id 154,3406885,544156790,0.008,HTTP,App,WebTransaction/SpringController/employees/{id} (GET),1.079773,544159049,"application/json, application/*+json",,localhost:9000,Java/11.0.3,GET,/employees/154,application/json,true,,c07da507-0a73-11ed-8c20-0242ac110009_0_9571,1a788ed9ea9f45e1cec2950f095e8520,WebTransaction/SpringController/employees/{id} (GET),/employees/{id} (GET)
2022-07-23 10:11:37,WebTransaction/SpringController/employees (POST)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,4,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.RuntimeException,org.springframework.web.util.NestedServletException,b2934aae1de828e0a65f917739efb459-3406885-1,1e4f2758d2c82d3a,500,500,d6bfb05d-0a6f-11ed-8c20-0242ac110009_0_9577,http-nio-9000-exec-3,Request processing failed; nested exception is java.lang.RuntimeException,3406885,544156790,0.003,HTTP,App,WebTransaction/SpringController/employees (POST),1.573412,544159049,"application/json, application/*+json",122,localhost:9000,Java/11.0.3,POST,/employees,application/json,true,"insert into employee_details (emp_designation, emp_id, emp_joining_date, emp_name, emp_organisation) values (?, ?, ?, ?, ?)",d6bfb05d-0a6f-11ed-8c20-0242ac110009_0_9577,877b360aa22cdf491d819821908783e4,WebTransaction/SpringController/employees (POST),/employees (POST)
2022-07-23 10:11:10,WebTransaction/SpringController/employees (POST)::org.springframework.web.util.NestedServletException,544156790,employee-dashboard,:544156790:,4,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU2Nzkw,org.springframework.web.util.NestedServletException,false,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T10:10:43.235+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees""}""",org.springframework.web.util.NestedServletException,4c005bdfc6b3cf028de362120b69437b-3406885-1,6fc3fc002c080cd4,500,500,c69ad292-0a6f-11ed-8c20-0242ac110009_0_11279,http-nio-8000-exec-8,"Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""{""timestamp"":""2022-07-23T10:10:43.235+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/employees""}""",,,,HTTP,,WebTransaction/SpringController/employees (POST),1.573412,544156241,*/*,151,localhost:8000,PostmanRuntime/7.28.4,POST,/employees/,application/json,true,,c69ad292-0a6f-11ed-8c20-0242ac110009_0_11279,877b360aa22cdf491d819821908783e4,WebTransaction/SpringController/employees (POST),/employees (POST)
2022-07-23 09:02:37,WebTransaction/SpringController/employees/{id} (PUT)::org.springframework.web.util.NestedServletException,544157489,employee-service,:544157489:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU3NDg5,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.IllegalArgumentException: could not execute statement; SQL [n/a]; constraint [UK_5moao2f3tauy73xcgy235vi9y]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,org.springframework.web.util.NestedServletException,bb483b718c64cca9d9112437dfa9f747-3406885-1,6a43cd26f4f464ef,500,500,32e772d5-0a66-11ed-8c20-0242ac110009_0_10047,http-nio-9000-exec-5,Request processing failed; nested exception is java.lang.IllegalArgumentException: could not execute statement; SQL [n/a]; constraint [UK_5moao2f3tauy73xcgy235vi9y]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement,3406885,544156790,0.003,HTTP,App,WebTransaction/SpringController/employees/{id} (PUT),1.225774,544159049,*/*,123,localhost:9000,Java/11.0.3,PUT,/employees/1,application/json,true,"update employee_details set emp_designation=?, emp_id=?, emp_joining_date=?, emp_name=?, emp_organisation=? where id=?",32e772d5-0a66-11ed-8c20-0242ac110009_0_10047,0b734f69f00caf5d000fdec4e2e4498a,WebTransaction/SpringController/employees/{id} (PUT),/employees/{id} (PUT)
2022-07-23 09:02:08,WebTransaction/SpringController/employees/{id} (PUT)::org.springframework.web.util.NestedServletException,544156790,employee-dashboard,:544156790:,1,MzQwNjg4NXxBUE18QVBQTElDQVRJT058NTQ0MTU2Nzkw,org.springframework.web.util.NestedServletException,false,Request processing failed; nested exception is java.lang.RuntimeException,org.springframework.web.util.NestedServletException,397f4685ec051a4d94f4bdc9a84f8313-3406885-1,51e2108565a0bae6,500,500,21b0136d-0a66-11ed-8c20-0242ac110009_0_10282,http-nio-8000-exec-8,Request processing failed; nested exception is java.lang.RuntimeException,,,,HTTP,,WebTransaction/SpringController/employees/{id} (PUT),1.225774,544156241,*/*,151,localhost:8000,PostmanRuntime/7.28.4,PUT,/employees/1,application/json,true,,21b0136d-0a66-11ed-8c20-0242ac110009_0_10282,0b734f69f00caf5d000fdec4e2e4498a,WebTransaction/SpringController/employees/{id} (PUT),/employees/{id} (PUT)
